,0
553,17
554,60
555,58
556,57
557,4
558,53
559,45
560,43
561,55
562,39
563,97
564,46
565,98
566,50
567,33
568,22
569,51
570,92
571,87
572,28
573,64
574,71
575,87
576,35
577,19
578,43
579,19
580,57
581,1
582,88
583,84
584,81
585,74
586,3
587,94
588,92
589,54
590,13
591,79
592,51
593,62
594,88
595,73
596,47
597,42
598,31
599,94
600,69
601,2
602,99
603,81
604,1
605,8
606,23
607,71
608,67
609,6
610,94
611,54
612,64
613,25
614,0
615,31
616,21
617,43
618,100
619,27
620,37
621,72
622,81
623,66
624,16
625,25
626,38
627,9
628,59
629,49
630,37
631,30
632,3
633,62
634,38
635,4
636,62
637,91
638,48
639,89
640,28
641,47
642,2
643,75
644,53
645,71
646,37
647,48
648,95
649,95
650,15
651,56
652,56
653,16
654,63
655,71
656,29
657,99
658,11
659,43
660,64
661,52
662,88
663,71
664,60
665,78
666,69
667,39
668,42
669,64
670,28
671,32
672,31
673,29
674,14
675,56
676,81
677,4
678,98
679,95
680,27
681,71
682,12
683,54
684,88
685,2
686,18
687,75
688,2
689,41
690,45
691,42
692,81
693,77
694,60
695,77
696,22
697,17
698,30
699,5
700,40
701,59
702,43
703,12
704,7
705,79
706,88
707,14
708,1
709,30
710,15
711,34
712,28
713,16
714,27
715,64
716,41
717,65
718,77
719,47
720,96
721,35
722,68
723,23
724,1
725,42
726,61
727,7
728,88
729,24
730,98
731,13
732,15
733,10
734,82
735,15
736,80
737,65
738,20
739,48
740,7
741,75
742,26
743,29
744,44
745,51
746,5
747,45
748,36
749,15
750,15
751,74
752,71
753,8
754,72
755,41
756,99
757,24
758,61
759,17
760,23
761,16
762,89
763,24
764,100
765,47
766,7
767,71
768,3
769,70
770,27
771,52
772,80
773,99
774,27
775,80
776,8
777,6
778,49
779,93
780,66
781,9
782,97
783,54
784,59
785,53
786,17
787,8
788,47
789,91
790,9
791,61
792,40
793,51
794,44
795,40
796,76
797,3
798,38
799,41
800,90
801,44
802,35
803,17
804,5
805,99
806,37
807,66
808,49
809,68
810,7
811,6
812,18
813,28
814,94
815,5
816,21
817,3
818,32
819,72
820,0
821,61
822,83
823,85
824,41
825,44
826,52
827,74
828,31
829,75
830,60
831,2
832,79
833,77
834,13
835,90
836,4
837,47
838,58
839,68
840,17
841,47
842,92
843,66
844,39
845,40
846,48
847,94
848,46
849,60
850,98
851,22
852,59
853,45
854,67
855,93
856,37
857,66
858,85
859,27
860,65
861,87
862,15
863,65
864,7
865,9
866,37
867,86
868,76
869,98
870,90
871,78
872,66
873,90
874,60
875,80
876,1
877,56
878,15
879,72
880,33
881,58
882,28
883,100
884,41
885,10
886,91
887,19
888,67
889,92
890,39
891,28
892,91
893,6
894,77
895,86
896,6
897,12
898,2
899,89
900,15
901,20
902,64
903,50
904,75
905,47
906,37
907,99
908,15
909,70
910,0
911,48
912,43
913,35
914,45
915,81
916,77
917,64
918,12
919,53
920,0
921,72
922,17
923,53
924,20
925,85
926,46
927,33
928,63
929,95
930,3
931,95
932,25
933,39
934,90
935,74
936,31
937,52
938,51
939,34
940,52
941,20
942,5
943,39
944,40
945,4
946,90
947,19
948,63
949,37
950,76
951,64
952,55
953,94
954,73
955,66
956,25
957,62
958,22
959,21
960,29
961,81
962,63
963,27
964,42
965,71
966,28
967,25
968,82
969,27
970,43
971,2
972,97
973,31
974,87
975,86
976,21
977,54
978,49
979,63
980,63
981,77
982,49
983,37
984,50
985,76
986,4
987,5
988,49
989,18
990,67
991,53
992,10
993,55
994,11
995,93
996,61
997,24
998,29
999,59
1000,72
1001,43
1002,15
1003,88
1004,20
1005,40
1006,11
1007,77
1008,35
1009,58
1010,55
1011,29
1012,15
1013,58
1014,40
1015,78
1016,36
1017,47
1018,14
1019,33
1020,12
1021,90
1022,55
1023,38
1024,48
1025,72
1026,1
1027,10
1028,68
1029,26
1030,37
1031,20
1032,47
1033,76
1034,98
1035,27
1036,86
1037,2
1038,40
1039,8
1040,87
1041,73
1042,24
1043,22
1044,68
1045,47
1046,50
1047,38
1048,42
1049,18
1050,25
1051,0
1052,97
1053,56
1054,5
1055,76
1056,64
1057,5
1058,60
1059,35
1060,44
1061,60
1062,54
1063,94
1064,32
1065,61
1066,9
1067,53
1068,87
1069,49
1070,47
1071,16
1072,97
1073,18
1074,99
1075,38
1076,45
1077,66
1078,96
1079,60
1080,42
1081,80
1082,43
1083,8
1084,25
1085,96
1086,8
1087,10
1088,74
1089,33
1090,59
1091,81
1092,87
1093,33
1094,98
1095,84
1096,31
1097,14
1098,3
1099,67
1100,25
1101,77
1102,28
1103,79
1104,24
1105,100
1106,84
1107,20
1108,53
1109,38
1110,51
1111,75
1112,79
1113,95
1114,77
1115,21
1116,12
1117,5
1118,63
1119,51
1120,58
1121,13
1122,46
1123,23
1124,38
1125,76
1126,91
1127,98
1128,36
1129,51
1130,76
1131,4
1132,30
1133,83
1134,25
1135,7
1136,61
1137,6
1138,67
1139,87
1140,44
1141,1
1142,86
1143,95
1144,78
1145,26
1146,75
1147,96
1148,3
1149,82
1150,6
1151,60
1152,92
1153,41
1154,67
1155,69
1156,97
1157,11
1158,34
1159,81
1160,31
1161,57
1162,34
1163,18
1164,91
1165,67
1166,8
1167,63
1168,76
1169,91
1170,35
1171,23
1172,84
1173,35
1174,92
1175,64
1176,48
1177,19
1178,53
1179,96
1180,97
1181,37
1182,43
1183,37
1184,98
1185,58
1186,46
1187,16
1188,98
1189,17
1190,87
1191,65
1192,7
1193,11
1194,65
1195,86
1196,79
1197,5
1198,79
1199,35
1200,4
1201,22
1202,0
1203,51
1204,71
1205,45
1206,85
1207,34
1208,4
1209,65
1210,9
1211,75
1212,92
1213,84
1214,0
1215,65
1216,38
1217,76
1218,41
1219,57
1220,85
1221,49
1222,14
1223,33
1224,33
1225,84
1226,15
1227,25
1228,12
1229,12
1230,57
1231,52
1232,42
1233,0
1234,11
1235,56
1236,98
1237,43
1238,29
1239,77
1240,14
1241,52
1242,76
1243,59
1244,95
1245,74
1246,89
1247,29
1248,60
1249,39
1250,18
1251,46
1252,2
1253,41
1254,45
1255,24
1256,86
1257,9
1258,12
1259,61
1260,32
1261,14
1262,51
1263,50
1264,96
1265,18
1266,13
1267,51
1268,23
1269,34
1270,41
1271,97
1272,20
1273,19
1274,31
1275,67
1276,86
1277,12
1278,74
1279,60
1280,97
1281,56
1282,29
1283,55
1284,3
1285,28
1286,61
1287,81
1288,47
1289,83
1290,17
1291,38
1292,86
1293,76
1294,27
1295,71
1296,6
1297,56
1298,30
1299,62
1300,41
1301,87
1302,71
1303,99
1304,78
1305,63
1306,6
1307,32
1308,34
1309,66
1310,27
1311,28
1312,30
1313,23
1314,5
1315,35
1316,6
1317,92
1318,44
1319,61
1320,51
1321,54
1322,27
1323,13
1324,98
1325,4
1326,29
1327,87
1328,86
1329,18
1330,23
1331,20
1332,12
1333,100
1334,86
1335,24
1336,60
1337,41
1338,1
1339,3
1340,48
1341,34
1342,4
1343,57
1344,21
1345,38
1346,20
1347,19
1348,30
1349,78
1350,64
1351,88
1352,22
1353,31
1354,4
1355,37
1356,45
1357,19
1358,25
1359,89
1360,97
1361,91
1362,27
1363,7
1364,3
1365,31
1366,21
1367,46
1368,24
1369,16
1370,89
1371,65
1372,47
1373,72
1374,24
1375,44
1376,92
1377,33
1378,50
1379,77
1380,65
1381,44
1382,43
1383,77
1384,56
1385,20
1386,68
1387,0
1388,82
1389,38
1390,71
1391,97
1392,55
1393,12
1394,11
1395,20
1396,32
1397,0
1398,40
1399,50
1400,55
1401,27
1402,97
1403,40
1404,8
1405,83
1406,40
1407,78
1408,99
1409,23
1410,19
1411,45
1412,66
1413,21
1414,83
1415,90
1416,96
1417,28
1418,56
1419,88
1420,13
1421,13
1422,14
1423,74
1424,2
1425,28
1426,73
1427,67
1428,25
1429,68
1430,87
1431,53
1432,74
1433,68
1434,82
1435,16
1436,58
1437,40
1438,52
1439,1
1440,15
1441,60
1442,78
1443,77
1444,93
1445,4
1446,45
1447,95
1448,25
1449,34
1450,94
1451,87
1452,5
1453,41
1454,23
1455,0
1456,90
1457,91
1458,73
1459,75
1460,52
1461,100
1462,8
1463,60
1464,93
1465,19
1466,83
1467,54
1468,72
1469,0
1470,34
1471,96
1472,91
1473,50
1474,24
1475,77
1476,47
1477,65
1478,88
1479,46
1480,88
1481,34
1482,0
1483,83
1484,73
1485,43
1486,25
1487,59
1488,97
1489,44
1490,99
1491,24
1492,10
1493,2
1494,67
1495,11
1496,52
1497,85
1498,14
1499,19
1500,92
1501,55
1502,99
1503,5
1504,69
1505,67
1506,92
1507,64
1508,59
1509,19
1510,60
1511,27
1512,11
1513,98
1514,46
1515,23
1516,3
1517,11
1518,38
1519,31
1520,83
1521,20
1522,95
1523,94
1524,77
1525,54
1526,73
1527,78
1528,7
1529,88
1530,13
1531,71
1532,13
1533,28
1534,14
1535,79
1536,23
1537,72
1538,23
1539,22
1540,15
1541,7
1542,78
1543,94
1544,32
1545,43
1546,4
1547,58
1548,28
1549,19
1550,28
1551,43
1552,82
1553,20
1554,70
1555,96
1556,58
1557,11
1558,89
1559,79
1560,54
1561,5
1562,35
1563,44
1564,91
1565,36
1566,99
1567,69
1568,15
1569,46
1570,29
1571,48
1572,67
1573,85
1574,2
1575,0
1576,91
1577,44
1578,56
1579,95
1580,46
1581,35
1582,60
1583,81
1584,31
1585,38
1586,56
1587,69
1588,13
1589,37
1590,14
1591,49
1592,59
1593,45
1594,87
1595,98
1596,11
1597,12
1598,33
1599,87
1600,42
1601,65
1602,38
1603,68
1604,81
1605,71
1606,90
1607,13
1608,53
1609,43
1610,89
1611,98
1612,47
1613,72
1614,69
1615,70
1616,7
1617,55
1618,11
1619,25
1620,22
1621,49
1622,42
1623,10
1624,73
1625,45
1626,72
1627,45
1628,31
1629,60
1630,2
1631,100
1632,35
1633,57
1634,8
1635,74
1636,95
1637,68
1638,96
1639,57
1640,59
1641,45
1642,27
1643,100
1644,10
1645,64
1646,38
1647,49
1648,25
1649,49
1650,100
1651,85
1652,43
1653,39
1654,87
1655,64
1656,67
1657,20
1658,35
1659,54
1660,42
1661,99
1662,73
1663,41
1664,11
1665,98
1666,63
1667,1
1668,23
1669,76
1670,29
1671,7
1672,21
1673,51
1674,18
1675,40
1676,46
1677,35
1678,86
1679,53
1680,45
1681,93
1682,46
1683,38
1684,61
1685,64
1686,18
1687,88
1688,70
1689,84
1690,60
1691,47
1692,15
1693,23
1694,0
1695,55
1696,28
1697,21
1698,11
1699,54
1700,21
1701,63
1702,75
1703,24
1704,57
1705,23
1706,6
1707,74
1708,32
1709,67
1710,96
1711,95
1712,81
1713,52
1714,98
1715,94
1716,24
1717,94
1718,39
1719,73
1720,16
1721,93
1722,24
1723,35
1724,30
1725,43
1726,22
1727,62
1728,87
1729,81
1730,74
1731,83
1732,35
1733,78
1734,6
1735,77
1736,82
1737,12
1738,72
1739,2
1740,68
1741,15
1742,96
1743,15
1744,68
1745,99
1746,41
1747,19
1748,40
1749,12
1750,94
1751,9
1752,68
1753,88
1754,26
1755,95
1756,63
1757,26
1758,16
1759,71
1760,16
1761,2
1762,53
1763,0
1764,2
1765,64
1766,30
1767,32
1768,63
1769,75
1770,35
1771,32
1772,48
1773,74
1774,84
1775,76
1776,3
1777,44
1778,43
1779,37
1780,29
1781,35
1782,87
1783,56
1784,95
1785,1
1786,42
1787,91
1788,84
1789,87
1790,24
1791,99
1792,17
1793,81
1794,75
1795,17
1796,68
1797,84
1798,59
1799,78
1800,77
1801,97
1802,18
1803,38
1804,43
1805,34
1806,40
1807,26
1808,98
1809,59
1810,5
1811,43
1812,15
1813,94
1814,11
1815,83
1816,83
1817,85
1818,40
1819,68
1820,70
1821,96
1822,51
1823,83
1824,66
1825,44
1826,96
1827,78
1828,31
1829,17
1830,77
1831,75
1832,90
1833,43
1834,80
1835,3
1836,3
1837,43
1838,43
1839,25
1840,83
1841,42
1842,83
1843,1
1844,63
1845,25
1846,13
1847,4
1848,43
1849,15
1850,68
1851,48
1852,3
1853,31
1854,5
1855,52
1856,93
1857,62
1858,30
1859,95
1860,78
1861,53
1862,15
1863,44
1864,96
1865,67
1866,1
1867,35
1868,36
1869,5
1870,46
1871,14
1872,36
1873,3
1874,14
1875,10
1876,62
1877,84
1878,19
1879,17
1880,63
1881,38
1882,86
1883,41
1884,55
1885,81
1886,86
1887,21
1888,95
1889,61
1890,81
1891,84
1892,25
1893,25
1894,41
1895,100
1896,14
1897,83
1898,0
1899,5
1900,30
1901,64
1902,61
1903,74
1904,66
1905,55
1906,18
1907,9
1908,88
1909,33
1910,31
1911,97
1912,17
1913,93
1914,41
1915,34
1916,30
1917,47
1918,24
1919,24
1920,5
1921,68
1922,31
1923,22
1924,3
1925,34
1926,57
1927,13
1928,39
1929,89
1930,75
1931,74
1932,65
1933,22
1934,48
1935,81
1936,85
1937,57
1938,88
1939,69
1940,60
1941,3
1942,57
1943,100
1944,50
1945,44
1946,89
1947,61
1948,69
1949,91
1950,71
1951,69
1952,96
1953,79
1954,18
1955,26
1956,51
1957,48
1958,92
1959,0
1960,18
1961,92
1962,98
1963,16
1964,25
1965,66
1966,30
1967,12
1968,11
1969,85
1970,96
1971,6
1972,13
1973,94
1974,99
1975,96
1976,6
1977,87
1978,75
1979,87
1980,84
1981,20
1982,82
1983,74
1984,29
1985,36
1986,69
1987,16
1988,11
1989,10
1990,38
1991,45
1992,17
1993,44
1994,87
1995,6
1996,42
1997,55
1998,28
1999,41
2000,97
2001,46
2002,73
2003,4
2004,39
2005,98
2006,1
2007,84
2008,33
2009,91
2010,33
2011,37
2012,2
2013,98
2014,50
2015,1
2016,17
2017,41
2018,89
2019,80
2020,10
2021,39
2022,62
2023,96
2024,3
2025,80
2026,13
2027,47
2028,47
2029,52
2030,31
2031,44
2032,34
2033,37
2034,99
2035,25
2036,20
2037,63
2038,37
2039,1
2040,40
2041,13
2042,69
2043,15
2044,75
2045,16
2046,86
2047,33
2048,93
2049,96
2050,85
2051,97
2052,83
2053,9
2054,48
2055,41
2056,56
2057,46
2058,41
2059,26
2060,79
2061,17
2062,43
2063,97
2064,64
2065,34
2066,23
2067,18
2068,54
2069,34
2070,16
2071,64
2072,91
2073,7
2074,34
2075,96
2076,60
2077,4
2078,60
2079,73
2080,25
2081,46
2082,87
2083,48
2084,35
2085,14
2086,42
2087,98
2088,18
2089,52
2090,63
2091,97
2092,61
2093,56
2094,96
2095,57
2096,79
2097,7
2098,39
2099,44
2100,49
2101,3
2102,66
2103,21
2104,27
2105,100
2106,100
2107,15
2108,32
2109,54
2110,46
2111,82
2112,6
2113,94
2114,20
2115,85
2116,49
2117,91
2118,0
2119,56
2120,74
2121,66
2122,86
2123,1
2124,70
2125,28
2126,74
2127,13
2128,72
2129,84
2130,55
2131,1
2132,93
2133,31
2134,21
2135,59
2136,78
2137,11
2138,12
2139,76
2140,24
2141,38
2142,37
2143,90
2144,41
2145,31
2146,86
2147,23
2148,78
2149,43
2150,1
2151,9
2152,24
2153,33
2154,91
2155,37
2156,65
2157,73
2158,78
2159,9
2160,2
2161,36
2162,62
2163,51
2164,62
2165,14
2166,49
2167,26
2168,22
2169,93
2170,33
2171,15
2172,95
2173,76
2174,37
2175,50
2176,7
2177,36
2178,72
2179,52
2180,28
2181,36
2182,66
2183,57
2184,91
2185,52
2186,81
2187,66
2188,51
2189,24
2190,97
2191,26
2192,36
2193,94
2194,20
2195,67
2196,96
2197,17
2198,0
2199,99
2200,91
2201,1
2202,21
2203,0
2204,5
2205,99
2206,59
2207,27
2208,50
2209,31
2210,29
2211,39
2212,61
2213,64
2214,19
2215,36
2216,98
2217,45
2218,79
2219,5
2220,44
2221,82
2222,70
2223,73
2224,15
2225,11
2226,36
2227,53
2228,100
2229,67
2230,38
2231,7
2232,74
2233,94
2234,29
2235,88
2236,5
2237,43
2238,10
2239,94
2240,64
2241,57
2242,32
2243,9
2244,22
2245,8
2246,72
2247,63
2248,74
2249,31
2250,95
2251,54
2252,75
2253,58
2254,60
2255,63
2256,96
2257,63
2258,31
2259,64
2260,95
2261,49
2262,56
2263,78
2264,31
2265,78
2266,69
2267,42
2268,13
2269,57
2270,13
2271,55
2272,13
2273,89
2274,55
2275,20
2276,76
2277,73
2278,34
2279,33
2280,22
2281,76
2282,4
2283,31
2284,28
2285,69
2286,75
2287,19
2288,51
2289,85
2290,15
2291,26
2292,5
2293,69
2294,69
2295,22
2296,66
2297,16
2298,74
2299,93
2300,61
2301,45
2302,12
2303,84
2304,14
2305,19
2306,64
2307,34
2308,15
2309,72
2310,5
2311,11
2312,51
2313,70
2314,77
2315,76
2316,19
2317,62
2318,4
2319,74
2320,31
2321,87
2322,59
2323,99
2324,52
2325,69
2326,36
2327,23
2328,24
2329,70
2330,87
2331,15
2332,57
2333,61
2334,10
2335,36
2336,44
2337,45
2338,54
2339,73
2340,71
2341,63
2342,85
2343,29
2344,40
2345,9
2346,1
2347,21
2348,51
2349,98
2350,11
2351,5
2352,92
2353,12
2354,81
2355,0
2356,51
2357,79
2358,6
2359,100
2360,5
2361,10
2362,98
2363,64
2364,24
2365,71
2366,1
2367,2
2368,91
2369,96
2370,44
2371,85
2372,74
2373,57
2374,86
2375,93
2376,13
2377,40
2378,89
2379,95
2380,41
2381,80
2382,1
2383,46
2384,84
2385,35
2386,25
2387,33
2388,40
2389,58
2390,69
2391,87
2392,66
2393,56
2394,81
2395,99
2396,17
2397,68
2398,69
2399,50
2400,60
2401,10
2402,81
2403,100
2404,62
2405,48
2406,53
2407,86
2408,20
2409,1
2410,93
2411,25
2412,63
2413,92
2414,1
2415,19
2416,57
2417,42
2418,3
2419,82
2420,60
2421,47
2422,17
2423,34
2424,64
2425,92
2426,17
2427,30
2428,79
2429,58
2430,81
2431,54
2432,20
2433,30
2434,16
2435,80
2436,50
2437,7
2438,51
2439,27
2440,55
2441,30
2442,55
2443,70
2444,76
2445,66
2446,21
2447,93
2448,62
2449,99
2450,89
2451,2
2452,45
2453,85
2454,24
2455,45
2456,34
2457,49
2458,87
2459,62
2460,22
2461,90
2462,92
2463,85
2464,85
2465,66
2466,72
2467,11
2468,17
2469,7
2470,94
2471,6
2472,83
2473,93
2474,28
2475,35
2476,60
2477,19
2478,75
2479,75
2480,8
2481,45
2482,97
2483,34
2484,64
2485,80
2486,53
2487,44
2488,41
2489,44
2490,80
2491,16
2492,11
2493,85
2494,95
2495,45
2496,53
2497,61
2498,50
2499,54
2500,3
2501,31
2502,71
2503,14
2504,75
2505,65
2506,54
2507,54
2508,89
2509,24
2510,85
2511,58
2512,93
2513,20
2514,19
2515,25
2516,18
2517,6
2518,7
2519,90
2520,59
2521,86
2522,85
2523,27
2524,41
2525,0
2526,26
2527,52
2528,98
2529,14
2530,59
2531,97
2532,39
2533,51
2534,73
2535,82
2536,87
2537,26
2538,63
2539,100
2540,23
2541,38
2542,29
2543,82
2544,83
2545,18
2546,31
2547,22
2548,2
2549,23
2550,15
2551,96
2552,54
2553,98
2554,66
2555,95
2556,15
2557,54
2558,95
2559,41
2560,89
2561,55
2562,62
2563,1
2564,67
2565,8
2566,49
2567,22
2568,34
2569,82
2570,15
2571,56
2572,39
2573,27
2574,14
2575,98
2576,91
2577,62
2578,44
2579,90
2580,11
2581,8
2582,45
2583,28
2584,32
2585,55
2586,80
2587,59
2588,47
2589,0
2590,17
2591,60
2592,68
2593,8
2594,12
2595,58
2596,67
2597,71
2598,2
2599,93
2600,65
2601,100
2602,45
2603,21
2604,89
2605,18
2606,39
2607,19
2608,38
2609,71
2610,47
2611,29
2612,94
2613,55
2614,91
2615,52
2616,98
2617,76
2618,96
2619,2
2620,35
2621,1
2622,30
2623,10
2624,89
2625,55
2626,55
2627,49
2628,11
2629,3
2630,62
2631,84
2632,99
2633,77
2634,82
2635,64
2636,39
2637,3
2638,99
2639,40
2640,80
2641,15
2642,36
2643,14
2644,21
2645,80
2646,91
2647,34
2648,36
2649,39
2650,1
2651,100
2652,43
2653,12
2654,49
2655,51
2656,26
2657,1
2658,78
2659,41
2660,76
2661,24
2662,48
2663,76
2664,55
2665,26
2666,5
2667,88
2668,63
2669,90
2670,57
2671,59
2672,100
2673,91
2674,93
2675,77
2676,57
2677,60
2678,74
2679,43
2680,58
2681,45
2682,77
2683,40
2684,4
2685,30
2686,79
2687,78
2688,82
2689,43
2690,95
2691,25
2692,50
2693,26
2694,57
2695,66
2696,80
2697,34
2698,78
2699,62
2700,5
2701,85
2702,47
2703,92
2704,27
2705,59
2706,34
2707,10
2708,71
2709,100
2710,80
2711,97
2712,19
2713,43
2714,48
2715,37
2716,59
2717,69
2718,92
2719,85
2720,9
2721,86
2722,28
2723,94
2724,28
2725,12
2726,11
2727,83
2728,13
2729,73
2730,27
2731,22
2732,2
2733,30
2734,92
2735,43
2736,43
2737,26
2738,54
2739,64
2740,13
2741,94
2742,59
2743,31
2744,94
2745,100
2746,43
2747,45
2748,98
2749,13
2750,39
2751,27
2752,86
2753,45
2754,30
2755,50
2756,18
2757,78
2758,39
2759,95
2760,4
2761,64
2762,44
2763,16
2764,98
2765,75
2766,35
2767,47
2768,63
2769,51
2770,62
2771,63
2772,16
2773,19
2774,88
2775,74
2776,56
2777,12
2778,49
2779,76
2780,7
2781,14
2782,74
2783,90
2784,60
2785,6
2786,17
2787,77
2788,75
2789,78
2790,77
2791,77
2792,96
2793,31
2794,90
2795,35
2796,28
2797,88
2798,76
2799,13
2800,85
2801,74
2802,89
2803,51
2804,23
2805,10
2806,36
2807,10
2808,93
2809,4
2810,44
2811,66
2812,76
2813,41
2814,23
2815,92
2816,48
2817,34
2818,67
2819,36
2820,92
2821,50
2822,75
2823,1
2824,54
2825,45
2826,56
2827,53
2828,77
2829,39
2830,1
2831,82
2832,30
2833,75
2834,72
2835,92
2836,77
2837,90
2838,40
2839,63
2840,50
2841,81
2842,92
2843,17
2844,0
2845,88
2846,46
2847,35
2848,55
2849,82
2850,75
2851,22
2852,54
2853,4
2854,71
2855,38
2856,92
2857,44
2858,92
2859,64
2860,38
2861,47
2862,93
2863,81
2864,81
2865,90
2866,30
2867,60
2868,51
2869,61
2870,56
2871,67
2872,5
2873,61
2874,38
2875,59
2876,16
2877,53
2878,73
2879,1
2880,0
2881,8
2882,62
2883,21
2884,19
2885,26
2886,60
2887,70
2888,62
2889,76
2890,25
2891,12
2892,16
2893,47
2894,80
2895,62
2896,22
2897,91
2898,65
2899,48
2900,18
2901,7
2902,10
2903,0
2904,41
2905,11
2906,12
2907,36
2908,76
2909,75
2910,60
2911,35
2912,38
2913,41
2914,79
2915,4
2916,87
2917,90
2918,24
2919,8
2920,78
2921,11
2922,48
2923,28
2924,36
2925,86
2926,24
2927,20
2928,31
2929,14
2930,29
2931,99
2932,87
2933,52
2934,2
2935,79
2936,11
2937,43
2938,1
2939,45
2940,6
2941,76
2942,47
2943,70
2944,65
2945,78
2946,74
2947,85
2948,74
2949,35
2950,4
2951,37
2952,78
2953,99
2954,34
2955,96
2956,52
2957,7
2958,15
2959,74
2960,59
2961,7
2962,97
2963,54
2964,45
2965,3
2966,73
2967,91
2968,92
2969,46
2970,96
2971,80
2972,35
2973,28
2974,90
2975,95
2976,82
2977,55
2978,89
2979,22
2980,72
2981,20
2982,77
2983,43
2984,9
2985,83
2986,32
2987,51
2988,86
2989,31
2990,11
2991,6
2992,3
2993,14
2994,27
2995,55
2996,59
2997,89
